Source,Target,Weight,Season
NED,ROBERT,192,1
DAENERYS,JORAH,154,1
JON,SAM,121,1
LITTLEFINGER,NED,107,1
NED,VARYS,96,1
DAENERYS,DROGO,91,1
ARYA,NED,90,1
CATELYN,ROBB,90,1
BRONN,TYRION,86,1
CERSEI,NED,86,1
CERSEI,ROBERT,80,1
LITTLEFINGER,VARYS,73,1
SHAE,TYRION,73,1
CATELYN,NED,69,1
JOFFREY,SANSA,69,1
NED,PYCELLE,68,1
DAENERYS,VISERYS,66,1
SANSA,SEPTA_MORDANE,64,1
TYRION,TYWIN,61,1
JEOR,JON,60,1
ROBB,THEON,60,1
CERSEI,JOFFREY,54,1
ARYA,SANSA,53,1
BRAN,MAESTER_LUWIN,53,1
JAIME,NED,53,1
NED,SANSA,49,1
BRAN,ROBB,48,1
LORAS,RENLY,47,1
CERSEI,JAIME,46,1
DAENERYS,MIRRI_MAZ_DUUR,45,1
JON,TYRION,45,1
ARYA,SYRIO_FOREL,44,1
JORY_CASSEL,NED,44,1
JORAH,VISERYS,43,1
JON,PYP,42,1
CATELYN,TYRION,41,1
ROS,THEON,40,1
JOFFREY,NED,39,1
CERSEI,SANSA,36,1
GRENN,PYP,36,1
CATELYN,WALDER,34,1
DAENERYS,DOREAH,34,1
JAIME,TYRION,34,1
JAIME,TYWIN,34,1
BENJEN,JON,33,1
DAENERYS,IRRI,32,1
GREATJON_UMBER,ROBB,31,1
MORD,TYRION,31,1
CATELYN,LYSA,30,1
DOREAH,VISERYS,30,1
JORAH,RAKHARO,30,1
LYSA,ROBIN,30,1
LYSA,TYRION,30,1
NED,RENLY,30,1
PYP,SAM,30,1
RENLY,ROBERT,30,1
BRAN,NED,29,1
BRAN,OSHA,29,1
JON,NED,29,1
BRAN,CATELYN,28,1
CATELYN,JAIME,28,1
CATELYN,RODRIK,28,1
DAENERYS,QOTHO,28,1
JOFFREY,ROBERT,28,1
JON,MAESTER_AEMON,28,1
DROGO,VISERYS,27,1
JAIME,JORY_CASSEL,27,1
BRAN,THEON,26,1
